,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000264247.1_LINC00909,135,134,215,152,334,198,220,225,287,213,227,342
ENSG00000264254.1_CTD-3096M3.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264260.1_RP11-94B19.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264262.1_RP11-285M22.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264265.1_RP11-14P20.1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000264278.1_RP11-162A12.2,2,6,2,5,1,0,1,0,2,0,2,0
ENSG00000264301.1_LINC01444,18,28,14,15,11,1,2,3,3,3,1,6
ENSG00000264324.1_RP11-287D1.3,6.99,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264334.1_RP11-671C19.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264343.5_NOTCH2NL,974.13,1243.73,757.2,553.62,581.47,352.74,394.49,352.71,502.09,445.95,411.96,615.93
ENSG00000264345.1_RP11-958F21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264364.2_DYNLL2,1960,2464,2424,2112,3328,2406,2999,2514,3636,3322,2644,3543
ENSG00000264404.2_LINC00864,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264422.1_RP11-434D2.12,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264424.1_MYH4,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000264443.1_RP4-594I10.3,21.33,3.59,8.32,2.23,2.47,13.74,31.59,19.87,13.24,17.92,2.39,0
ENSG00000264448.3_RP3-388N13.5,3,4,7,12,4,2,8,2,1,2,0,3
ENSG00000264451.1_RP11-433M22.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264464.1_RP11-110H1.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264486.1_CTD-2008P7.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264488.1_RP11-605F20.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264490.3_WI2-87327B8.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264514.1_RP11-720L2.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264520.1_RP4-777O23.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264522.5_OTUD7B,1594,1997,2332,1912,1757,1417,1608,1320,1623,1415,1443,1819
ENSG00000264527.2_WI2-1959D15.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264545.1_RP11-145E5.5,8.25,0,5.92,6.19,0,0,0,0,0,0,0,0
ENSG00000264575.1_LINC00526,11.52,12.99,12.31,6.55,22.68,14.12,6.06,15.77,1.18,7.29,7.9,10.04
ENSG00000264587.5_RP11-784B15.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264595.1_RP11-94B19.5,0,1,0,2,0,0,0,0,0,0,0,0
ENSG00000264622.1_RP11-642M2.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264634.1_RP11-659F24.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264643.1_RP11-118G23.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264668.1_RP13-582O9.6,7.38,0,32.03,10.87,32.73,0,13.21,0,0,0,0,61.88
ENSG00000264693.1_RP11-63N3.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264695.1_RP11-178F10.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264699.1_RP11-421N8.2,0,0,0,0,0,0,0,1,9,0,0,0
ENSG00000264705.1_RP11-674P19.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264707.1_L3MBTL4-AS1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000264717.5_CH17-360D5.1,27.72,19.16,30.16,20.76,4.72,5.72,12.66,0,0,4.34,12.37,2.19
ENSG00000264727.1_RP11-680C21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264729.1_RP11-219A15.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264734.1_RP11-260A9.6,1,0,0,0,0,1,0,0,0,0,0,0
ENSG00000264735.1_RP11-498C9.17,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000264765.1_RP11-92B11.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264790.1_RP11-26N15.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264813.5_CTD-2501B8.1,0,0,0,0,0,0,0,9.18,0,0,0,0
ENSG00000264825.1_RP11-627G18.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264869.1_RP11-526H11.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264876.1_RP11-138E9.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264880.1_RP11-805F19.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264954.1_RP11-214C8.2,0,0,1,0,0,0,0,0,2,0,0,0
ENSG00000264956.1_RP11-1109M24.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264964.1_RP11-888D10.3,1,0,0,2,3,0,0,0,1,1,0,1
ENSG00000264968.1_RP11-387H17.4,0,0,0,0,0,0,0,0,1,0,0,2
ENSG00000264990.1_RP11-215E13.2,0,0,1,0,0,0,1,0,0,0,0,0
ENSG00000265000.1_RP11-453A12.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265043.1_RP11-728E14.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265046.1_CTC-542B22.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265055.1_AC145343.2,1,3,0,2,6,2,6,5,7,3,6,3
ENSG00000265091.5_RP11-835E18.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265101.1_CTD-2382H12.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265107.2_GJA5,0,2,3,0,421,396,139,125,107,72,140,154
ENSG00000265114.1_RP11-285M22.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265118.5_CTD-2370N5.3,5.07,27.67,27.4,0.83,13.06,66.13,54.85,0,48.23,112.98,101.13,4.69
ENSG00000265121.1_RP11-285E9.5,1,3,4,10,0,0,1,0,0,0,0,0
ENSG00000265139.1_RP11-227G15.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265163.1_CDRT8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265190.6_ANXA8,2473.3,2940.99,2741.67,2109.11,15674.09,10837.67,12138.02,10223.82,11982.24,10388.37,10616.14,13613.22
ENSG00000265203.1_RBP3,0,0,0,0,1,0,2,0,0,0,0,0
ENSG00000265217.1_RP11-775G23.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265241.6_RBM8A,4892,5998,5302,4298,6603,5022,7109,5950,6909,6445,6020,6405
ENSG00000265246.1_RP11-663N22.1,0,1,0,0,5,0,0,0,0,0,0,0
ENSG00000265264.5_TIMM10B,0,1.01,1.31,0,2.01,0,1.16,0,0,0,0,0
ENSG00000265265.1_RP11-822E23.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265282.1_RP11-269G24.4,0,0,0,0,0,1,2,0,2,0,0,0
ENSG00000265303.1_CTD-2510F5.6,0,0,0,0,1.8,0,0,0,0,0,0,0
ENSG00000265313.5_LINC01476,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265352.1_RP11-723G8.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265354.3_TIMM23,2374,2670,2697,2275,4029,3287,3138,2450,4509,3510,3321,4207
ENSG00000265369.3_PCAT18,0,0,1.08,3,0,0,0,0,0,0,0,0
ENSG00000265374.1_RP11-57J16.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265378.1_RP11-123I22.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265380.1_RP11-126K15.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265400.1_RP11-471L13.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265425.1_RP11-128D14.1,0,0,2,1,0,0,0,0,0,0,0,0
ENSG00000265443.1_CTD-2349P21.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265478.2_CTD-2145A24.5,5,0,7,3,1,4,1,1,5,0,1,4
ENSG00000265484.1_RP11-47G4.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265485.5_RP11-449D8.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265491.4_RNF115,1849,2207,2212,2165,2079.98,1882.99,2171.82,1910.8,2177,1873,1857,2003
ENSG00000265494.1_RP11-131K5.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265514.1_RP11-92G19.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265519.1_CTD-3157E16.1,4,4,9,6,5,3,6,5,8,6,9,11
ENSG00000265533.1_RP11-638L3.1,0,1,5,5,0,0,0,0,0,0,0,0
ENSG00000265542.5_RP11-60A24.3,1,2,17,5,1,0,3,1,0,0,0,0
ENSG00000265547.1_RP11-293E1.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265552.1_RP11-958F21.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265554.1_RP11-419J16.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265555.1_RP11-638L3.3,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000265556.1_RP11-434D2.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265590.9_AP000275.65,531.66,565.63,376.29,429.68,569.66,524.62,583.17,496.88,903.13,764.97,719.45,464.63
ENSG00000265644.1_RP11-451L19.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265670.1_RP11-25I11.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265681.6_RPL17,19523.13,19345.96,14605.48,12737.53,35904.97,24788.15,19864.29,16126.22,30789.08,24592.05,21980.07,29209.53
ENSG00000265689.1_RP11-118G23.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265690.7_RP11-5A19.5,5.49,5.69,15.07,3.9,5.57,13.31,50.95,12.59,5.35,3.24,0,11.79
ENSG00000265692.1_RP13-516M14.4,1,1,4,1,2,4,7,7,4,3,3,1
ENSG00000265717.1_RP11-94B19.7,9,11,7,5,0,0,0,0,0,0,0,0
ENSG00000265728.1_RP11-883A18.3,0,0,4,0,1,3,4,2,1,0,1,0
ENSG00000265743.1_RP11-848P1.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265750.1_RP11-799B12.4,1.2,5.44,0,2.35,0,0,1.17,1.2,1.17,0,2.53,3.96
ENSG00000265752.2_RP11-403A21.1,6,8,20,13,8,5,3,2,4,12,3,5
ENSG00000265758.1_RP11-595B24.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265763.3_ZNF488,0,0,0,0,871,685,787,643,510,561,629,762
ENSG00000265766.2_CXADRP3,1,7,8,24,0,0,0,0,0,0,1,0
ENSG00000265781.1_RP11-384E22.1,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265786.1_RP11-527H14.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265787.1_CYP4F35P,0,0,1,3,18,17,37,25,21,17,10,26
ENSG00000265788.1_RP11-19P22.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265799.1_RP11-387H17.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265808.3_SEC22B,7075,7438,7297,6713,2300,1971,1789,1551,2425,1933,1795,2282
ENSG00000265817.1_FSBP,6.88,41.16,33.56,70.55,4,15.92,21.62,4.79,0,5.21,0,0
ENSG00000265818.1_EEF1E1-BLOC1S5,0,12.94,0,0,0,7.84,0,0,43.87,0.01,7.46,7.41
ENSG00000265843.2_LINC01029,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265844.1_RP11-751H17.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265912.1_RP11-583F2.2,2,0,3,2,1,0,1,2,5,0,0,3
ENSG00000265927.1_CTD-2532D12.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265933.5_LINC00668,9,7,19,7,0,0,0,0,0,0,0,0
ENSG00000265935.1_RP11-277J6.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265944.1_LINC01387,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265964.1_RP11-293E1.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265971.1_RP11-269G24.6,0,0,0,0,0,0,1,0,0,0,0,1
ENSG00000265972.5_TXNIP,4259,5073,8012,6971,4421,3350,2866,2323,2173,1908,1758,2407
ENSG00000265975.1_CTB-41I6.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265980.1_CTD-2515C13.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265984.1_RP11-699A5.2,0,0,0,0,1,1,0,0,0,0,0,0
ENSG00000265994.1_RP11-510D21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000265995.1_RP11-736G13.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266010.1_GATA6-AS1,4,9,40,25,8,1,3,0,0,0,0,3
ENSG00000266013.1_CTD-2206N4.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266014.1_RP11-94B19.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266028.7_SRGAP2,1370.06,1851.13,2818.13,2263.91,2663.84,2179.02,3208.33,2620.19,1932.96,1746.67,1597.14,1871.89
ENSG00000266065.1_CTD-2124B20.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266074.8_BAHCC1,9,14,32,26,504,399,656,480,389,365,371,287
ENSG00000266076.1_CTD-2535L24.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266086.1_RP11-159D12.5,0,0,4.84,5.81,50.41,13.37,46.67,64.64,17.74,2.68,6.18,6.27
ENSG00000266088.5_RP5-1028K7.2,8,10,10,6,122,81,120,93,91,56,89,123
ENSG00000266094.6_RASSF5,157,191,349,251,299,231,333,278,232,227,180,188
ENSG00000266102.1_RP11-243E13.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266111.2_RP11-296K13.4,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000266114.1_RP11-963H4.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266153.1_RP11-190I17.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266173.5_STRADA,646,882,1341,893,1141,919,1149,933,1086,1010,904,978
ENSG00000266176.1_RP11-855A2.5,0,0,1,0,1,2,0,0,1,0,0,0
ENSG00000266196.1_RP11-675P14.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266202.1_RP1-66C13.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266213.1_RP11-100K18.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266256.1_LINC00683,0,0,0,0,11,11,7,9,21,7,5,6
ENSG00000266258.1_RP11-41O4.1,0,1,5,0,10,1,2,0,1,3,1,4
ENSG00000266265.2_KLF14,4,14,6,11,0,0,0,0,0,0,0,0
ENSG00000266268.5_RP11-172F10.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266273.1_RP11-715C4.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266278.1_RP11-41O4.2,1,4,1,0,50,46,50,43,24,21,12,35
ENSG00000266279.1_RP11-849F2.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266288.1_CTD-3096M3.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266289.1_RP11-1C8.6,0,0,0,2,0,2,10,4,3,3,0,2
ENSG00000266290.1_RP11-159D12.10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266302.5_RP11-219A15.1,86.43,150.74,303.23,308.23,0,2.4,12.6,10,2.25,5.62,3.83,6.65
ENSG00000266304.1_RP11-484N16.1,0,0,0,1,1,2,3,0,0,2,2,0
ENSG00000266311.6_AC007952.4,0,0,0,0,0,0,0,0,0.33,0,0,0
ENSG00000266312.1_RP11-111H3.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266313.1_RP11-173M1.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266335.1_RP11-25O3.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266338.6_NBPF15,1131.16,1352.8,1624.28,1551.77,1666.87,1094.54,1827.04,1724.47,1318.64,948.4,1019.96,1537.06
ENSG00000266357.5_RP11-101O21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266378.1_RP11-214O1.3,0,0,0,0,0,0,1,1,0,1,0,0
ENSG00000266385.1_RP11-227G15.8,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000266389.1_CTB-41I6.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266402.3_SNHG25,3,0,0,3,1,0,1,3,0,0,2,1
ENSG00000266411.1_RP11-180P8.3,9,5,11,5,2,3,1,1,4,0,0,2
ENSG00000266412.5_NCOA4,14262,16564,15044,13287,9853,7882,6872,5860,10776,8748,8045,10297
ENSG00000266450.1_CTD-2015H3.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266460.1_RP11-173L6.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266472.5_MRPS21,1099,1251,1191,994,5208,3353,3231,2826,2875,2108,2410,3764
ENSG00000266489.1_RP11-178F10.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266490.1_CTD-2349P21.9,6,17,15,18,16,4,15,15,18,2,1,7
ENSG00000266498.1_RP11-45M22.5,0,0,0,2,0,1,0,0,1,0,0,0
ENSG00000266505.1_RP11-629E24.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266521.1_RP11-650P15.1,0,0,0,0,0,0,1,1,0,0,0,0
ENSG00000266524.2_GDF10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266538.1_RP11-385D13.3,0,1,0,0,2,0,0,1,4,0,0,0
ENSG00000266554.1_LINC01443,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000266573.5_RP11-449D8.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266578.1_RP11-838N2.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266579.1_RP1-71H19.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266586.1_CTD-2382H12.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266588.1_RP1-56K13.5,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000266602.1_RP11-476K15.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266604.1_RP11-856M7.6,1,2,0,3,0,0,0,0,0,0,0,0
ENSG00000266614.1_RP11-94B19.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266651.1_RP11-138I1.3,0,0,0,0,0,4,1,4,0,1,0,0
ENSG00000266667.1_RP11-849N15.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266709.1_RP11-214O1.2,109,136,33,20,30,23,34,32,33,22,54,44
ENSG00000266714.6_MYO15B,12,18,15,14,77,25,46,44,17,27,21,12
ENSG00000266728.5_AC015688.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266733.5_TBC1D29,0,1,0,0,4,5,11,7,3,4,4,1
ENSG00000266743.1_RP11-94B19.6,1,2,0,0,0,0,0,0,0,0,0,0
ENSG00000266744.1_RP11-131K5.1,0,0,0,0,1,0,0,0,0,3,0,0
ENSG00000266765.1_CTD-2582D11.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266774.1_RP11-321M21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266821.1_RP11-6N17.2,0,0,1,1,0,0,0,1,0,0,0,0
ENSG00000266824.1_RP11-599B13.7,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000266830.1_CTD-2008P7.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266835.5_GAPLINC,6,4,5,2,0,0,1,0,0,0,0,0
ENSG00000266869.1_RP6-114E22.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266877.1_RP1-41C23.1,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266893.1_AC005616.1,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000266897.1_AC005546.2,2,0,0,0,0,0,0,0,0,1,3,1
ENSG00000266904.5_CTC-559E9.1,6,10,13,16,68,46,42,51,35,24,27,34
ENSG00000266905.1_RP11-1058N17.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266908.1_RP5-1022P6.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266913.1_CTC-548K16.2,0,0,0,0,0,0,0,0,2,0,1,0
ENSG00000266918.1_RP11-798G7.8,1,6,14,14,12,17,48,34,23,5,9,11
ENSG00000266924.1_RP11-154H12.2,0,0,0,0,9,2,2,9,0,0,5,5
ENSG00000266925.1_RP11-434D2.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266928.1_CTB-70G10.1,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000266950.1_CTD-2623N2.5,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000266951.2_AD000091.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266952.1_LINC01538,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266953.6_RP11-618P17.4,0,0,0,0,0,3.41,8.9,1.34,2.52,3.74,4.64,1.69
ENSG00000266961.1_RP11-973H7.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266964.5_FXYD1,5,5,8,5,8,4,1,1,2,4,3,0
ENSG00000266967.6_AARSD1,842.97,1090.05,1051.27,850.27,1713.06,1205.99,1449.86,1202.15,1109.25,932.33,888.74,1163.35
ENSG00000266970.1_RP11-806H10.4,0,0,1,0,3,1,0,0,0,0,0,1
ENSG00000266976.1_AC079466.1,0,0,0,1,2,0,1,6,1,0,0,0
ENSG00000266977.1_CTC-459F4.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266979.1_LINC01180,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000266985.1_CTD-2329C7.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266997.2_RP11-886H22.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267001.1_AC006538.4,27.26,59.57,80.8,17.73,78.71,68.13,58.44,62.56,114.57,91.53,66.41,38.63
ENSG00000267002.1_RP11-242D8.1,31,25,48,56,45,28,109,113,36,28,28,35
ENSG00000267004.1_CTD-2659N19.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267006.1_CTC-448F2.4,1,1,0,0,0,0,0,1,0,1,0,2
ENSG00000267011.5_CTB-50L17.16,0,0,0,0,1,1,1,0,0,2,1,0
ENSG00000267012.1_CTC-360P9.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267013.5_CTD-2171N6.1,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000267014.5_LINC01532,1,1,3,2,0,0,0,0,0,0,0,0
ENSG00000267022.1_AC084219.2,175.94,152.85,186.89,174.48,0.79,2.68,18.09,15.46,0,0,3.59,0
ENSG00000267027.1_AC011524.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267034.1_RP11-384O8.1,26,24,19,15,9,4,6,6,5,0,5,2
ENSG00000267035.1_RP11-1094M14.10,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267037.1_AC005757.7,1,0,0,0,0,2.52,2.72,1.12,1.27,0,0.05,0.31
ENSG00000267038.1_RP11-1096D5.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267041.5_ZNF850,133,147,195,181,80,33,62,72,6,12,10,12
ENSG00000267045.1_AC006126.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267051.1_RP11-128P17.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267052.1_CTB-30L5.1,1,6,0,1,0,0,1,0,0,0,0,0
ENSG00000267053.6_CTD-3162L10.1,7,0,0,6,0,0.3,1.43,7.28,0,3,2,2
ENSG00000267055.1_RP11-486P11.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267057.5_RP11-456O19.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267058.1_RP11-15A1.3,50.97,52,97.37,61,43.6,22.82,39.77,29.16,20.97,24.82,17.18,27.77
ENSG00000267059.2_AC005943.2,222.34,309.76,380.03,118.73,275.34,171.99,342.16,76.84,432.92,364.74,311.88,0
ENSG00000267060.5_PTGES3L,23.46,25.51,31.02,22.21,23.45,29.09,29.28,20.2,22.45,14.38,12.89,10.66
ENSG00000267065.2_CTD-2246P4.1,0,3,0,2,1,0,1,2,0,0,1,0
ENSG00000267069.1_RP11-64C12.8,7,8,13,12,5,11,10,7,8,10,15,1
ENSG00000267070.1_RP11-10K17.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267072.2_RP11-165E7.1,0,3.19,3,0,4.49,0,11.57,3.34,9.29,6.62,4.81,6.4
ENSG00000267073.1_AC005256.1,1,0,1,0,1,0,1,0,3,3,0,0
ENSG00000267075.1_RP11-434D2.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267079.1_RP11-820I16.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267081.1_CTC-400I9.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267089.1_CTC-499B15.8,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267094.1_CTC-360P9.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267095.1_CTD-2319I12.5,0,0,0,0,1,1,2,1,0,0,0,0
ENSG00000267098.1_RP11-325K19.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267100.1_ILF3-AS1,110,125,178,142,395,234,332,287,347,326,315,434
ENSG00000267104.2_TBC1D3P1-DHX40P1,0,0,0,6.26,1.43,1.32,0,1.6,0,4.18,1.55,1.37
ENSG00000267107.6_PCAT19,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000267108.1_RP11-861E21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267109.1_CTD-2378E21.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267110.1_CTD-2587H24.4,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267114.1_CTB-129P6.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267115.1_CTD-3064H18.2,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000267120.3_AD000671.6,6.02,8.26,7.64,4.49,0,7.19,1.97,1.89,8.25,2.37,7.62,8.01
ENSG00000267123.5_CTD-2357A8.3,10,7,2,1,22,23,12,20,0,0,2,4
ENSG00000267127.6_RP11-795F19.5,0,2,4,7,5,0,10,7.01,1,0,3,4
ENSG00000267130.1_CTD-2540B15.9,0,0,0,0,0,0,0,0,5,3,0,0
ENSG00000267133.1_AC011518.2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267134.1_RP11-146N18.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000267140.1_RP11-322E11.6,3.52,8.95,4.58,3.82,0,1.31,4.86,0,2.74,6.52,2.54,1.1
ENSG00000267143.1_RP11-677O4.6,2.07,1.05,0,5.94,1.39,1.52,12.79,6.49,6.8,0.26,1.78,0.62
ENSG00000267144.1_AC067968.3,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000267147.2_CTC-548K16.1,0,0,0,0,0,0,0,0,2,1,0,3
