,OV_CONTROL_1,OV_CONTROL_2,OV_RCCD1OE_1,OV_RCCD1OE_1,BR_CONTROL_1,BR_CONTROL_1,BR_RCCD1OE_1,BR_RCCD1OE_2,BR_CONTROL_3,BR_CONTROL_4,BR_RCCD1OE_3,BR_RCCD1OE_4
ENSG00000006837.11_CDKL3,60,43,61,46,46,45,43,37,41,54,24,39
ENSG00000007001.12_UPP2,0,0,1,1,0,1,0,0,0,0,0,0
ENSG00000007038.10_PRSS21,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000007047.14_MARK4,1260,1701,2441,1483,861,685,944,677,685,643,619,597
ENSG00000007062.11_PROM1,7,7,12,16,2,5,6,0,2,1,3,4
ENSG00000007080.10_CCDC124,674,896,1099,440,1823,1034,1380,755,1408,1359,1104,874
ENSG00000007129.17_CEACAM21,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007168.12_PAFAH1B1,6438,7263,7063,6520,6056,4447,5687,4923,5161,4608,4578,6260
ENSG00000007171.16_NOS2,2,0,0,0,1,7,0,1,1,1,0,0
ENSG00000007174.17_DNAH9,0,1,0,0,44,18,32,15,13,13,17,19
ENSG00000007202.14_KIAA0100,9004,11165,12695,9632,15062,10673,12205,10534,12303,11344,10362,13828
ENSG00000007216.14_SLC13A2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007237.18_GAS7,1094,1410,1319,928,59,42,32,15,66,73,60,57
ENSG00000007255.10_TRAPPC6A,127,183,146,49,433,191,157,62,278,264,162,239
ENSG00000007264.13_MATK,0,0,0,0,44,11,10,7,15,9,12,14
ENSG00000007306.14_CEACAM7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007312.12_CD79B,0,0,1,0,3,6,1,1,0,2,0,0
ENSG00000007314.11_SCN4A,0,1,0,1,0,0,0,0,1,0,0,0
ENSG00000007341.18_ST7L,498.8,564.37,661.88,654.75,413.86,376.63,439.57,365.11,545.51,420.56,403.32,391.09
ENSG00000007350.16_TKTL1,0,0,0,0,1,0,0,0,0,0,1,0
ENSG00000007372.20_PAX6,148,149,297,214,11,20,10,3,10,12,13,7
ENSG00000007376.7_RPUSD1,307,403,741,279,1260,797,715,397,1219,1126,867,842
ENSG00000007384.15_RHBDF1,817,1161,1717,946,426,274,426,287,403,305,309,355
ENSG00000007392.16_LUC7L,777,1023,1568,1315,477,361,757,610,579,496,538,600
ENSG00000007402.11_CACNA2D2,5,2,12,11,30,12,55,32,19,13,7,15
ENSG00000007516.13_BAIAP3,19.04,13,31.02,20,24.02,35.08,30.03,20.06,36.04,29.02,27.04,15.04
ENSG00000007520.3_TSR3,612.96,791,876.98,355,907.98,513.92,560.97,335.94,961.96,854.98,713.96,651.96
ENSG00000007541.14_PIGQ,532,693,892,391,702,383,477,295,582,545,520,476
ENSG00000007545.15_CRAMP1L,683.79,966.47,1223.99,916.22,1110.91,673.51,1029.7,868.29,1034.82,902.71,778.99,1077.7
ENSG00000007866.18_TEAD3,1867,2408,2310,1287,1263,1071,1456,1194,1287,1258,1130,1114
ENSG00000007908.15_SELE,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007923.15_DNAJC11,2274,2696.26,3261.72,2199.21,5113.72,3856.21,5264.82,4209.29,3427.21,3221.9,2992.38,3447.55
ENSG00000007933.12_FMO3,677,784,1606,1480,0,0,3,1,0,1,1,1
ENSG00000007944.14_MYLIP,459,514,642,470,214,141,225,172,205,209,158,161
ENSG00000007952.17_NOX1,0,0,1,0,0,0,1,0,0,0,2,0
ENSG00000007968.6_E2F2,69,104,114,95,803,494,912,699,463,411,442,606
ENSG00000008018.8_PSMB1,4009,4696,4656,4136,8659,6076,5880,4974,7338,5434,5446,7905
ENSG00000008056.12_SYN1,16,11,13,10,47,45,44,27,9,5,13,10
ENSG00000008083.13_JARID2,1229,1759,1985,1510,862,740,625,553,890,798,655,730
ENSG00000008086.10_CDKL5,1368,1729,1765,1739,128,111,130,96,74,58,80,84
ENSG00000008118.9_CAMK1G,24,15,40,20,1,0,0,0,0,0,0,1
ENSG00000008128.22_CDK11A,605.39,884.84,1419.58,1059.01,1011.83,897.42,1351.4,1114.94,943.75,770.47,654.14,653.6
ENSG00000008130.15_NADK,1175,1370,1798,1138,3705,2006,2524,1814,1784,1671,1534,2022
ENSG00000008196.12_TFAP2B,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008197.4_TFAP2D,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008226.19_DLEC1,7.75,5.34,22.07,10.1,3.2,24.61,28.14,18.98,25.5,16.09,12.95,10.56
ENSG00000008256.15_CYTH3,3100,4034,5732,4025,2738,2138,2594,2110,2564,2282,1983,2074
ENSG00000008277.14_ADAM22,312,392,271,286,170,154,146,145,35,28,34,49
ENSG00000008282.7_SYPL1,2727,3234,2887,2876,6906,4580,4277,3682,7242,5452,5297,7818
